Strategy            ,Avg Best Value         ,Std Dev
elitist             ,0.00016826069858833195 ,0.000378239667929519
simulated_annealing ,0.0002803872652109555  ,0.00039324117655142556
roulette            ,0.07280479593836914    ,0.06983150867472777
tournament          ,0.00971663868366278    ,0.011475929533551626
rank                ,0.6392154922353357     ,0.5709124953516135
