Strategy,Avg Best Value,Std Dev
elitist,1.2909902300294491,3.8199061903877816
simulated_annealing,1.3962214022582942,4.960807951639401
roulette,2.4455271446095783,3.4543633999027628
tournament,2.194592705439826,3.8780347409160663
rank,3.4489347163300437,3.6850733970313754
