Strategy            ,Avg Best Value        ,Std Dev
elitist             ,0.0002336597902538465 ,0.0003651649263477257
simulated_annealing ,0.0003174734450254174 ,0.000509170844385797
roulette            ,0.04816253546440222   ,0.06363539109201174
tournament          ,0.006904444726963274  ,0.00734252364178479
rank                ,0.3783179422821926    ,0.5716041712128449
