Run,Strategy,Best Value,Benchmark
27,tournament,-1.9641387772781014,Michalewicz
28,tournament,-1.7031743179809116,Michalewicz
29,tournament,-1.7542675589048788,Michalewicz
30,tournament,-1.8825468435622699,Michalewicz
1,rank,-1.937357601893015,Michalewicz
2,rank,-1.8611626453012844,Michalewicz
3,rank,-1.7625963807694234,Michalewicz
4,rank,-1.7165226508618736,Michalewicz
5,rank,-1.6530596598329226,Michalewicz
6,rank,-1.6484760064148776,Michalewicz
7,rank,-1.7079244402694007,Michalewicz
8,rank,-1.8499353607461542,Michalewicz
9,rank,-1.9261430408363576,Michalewicz
10,rank,-1.638905904122015,Michalewicz
11,rank,-1.791839689805628,Michalewicz
12,rank,-1.708719997969434,Michalewicz
13,rank,-1.615304912094081,Michalewicz
14,rank,-1.7958767718744104,Michalewicz
15,rank,-1.9389822475953733,Michalewicz
16,rank,-1.7951639225391731,Michalewicz
17,rank,-1.7165380921530642,Michalewicz
18,rank,-1.7499304136417064,Michalewicz
19,rank,-1.607344495164126,Michalewicz
20,rank,-1.8316489365407176,Michalewicz
21,rank,-1.7539318187913457,Michalewicz
22,rank,-1.680859338214636,Michalewicz
23,rank,-1.7454624736388245,Michalewicz
24,rank,-1.656596628506506,Michalewicz
25,rank,-1.7774096929618095,Michalewicz
26,rank,-1.8487560184758638,Michalewicz
27,rank,-1.7247376043321951,Michalewicz
28,rank,-1.8317449191511352,Michalewicz
29,rank,-1.8272893370236711,Michalewicz
30,rank,-1.9807556058133953,Michalewicz
